22KQeCe437VkdaRnFFKsXj8tuVYCdkM8zET,989900.000
C5Vx7y3mUV7562akrLMExB9TzFwqDUyjW6,862500.000
2PSCssHj93V1yi2ejjdsiCUMCfVmumm7jes,731734.000
2mFW4SHQZ87ps7CCxNUCgiFTdV65KNRYP6g,644975.000
2HEYaBAdhZLzrJSjoorNFQH7Dfvx34FAAQ6,500000.000
Ddb7yX6ADj3gyoKqNrqGFTd2pZGKKkYQxD,500000.000
2h1WNpyP9jADo3K6cDEsa1PpUSLsg8TaZKJ,500000.000
MZZQwmhE4QPHXM1m8R8iNpE1mwQ2SswZzP,500000.000
vTJKKE3JvSa2GJoeaJgVdZGRaAwYDgmEgx,464251.000
T7mm6tx8vQTd3VxA4d2TqgEMwAPMvS95wb,400000.000
Y17S8Uu9b6gfim1wQEFEede9wcWTq5NTgk,400000.000
skxir1j4AAqRVdyKPTSavC9Hj8RL1yJteh,311000.000
zj5qgHyCv6nrWkmMbW845CmprnneomB5CQ,264998.000
24gcwwMyhvFZncAUjSPkAWm1jENbUhPfEdr,249000.000
zoqMtc6HXvoGqFgHULpLWJDvhPX4h14ui8,200000.000
uqBkpzQdtvMDrC6y8dmySvMMTQtMeVX6De,185000.000
V8LKYSXopdMaBUptcoiiGYUobZmjQ5KoNX,156666.670
2PgmAGqUV7WHCNsPBWWAXZN6GUaPaxkmiWe,128140.000
DJNMx2QcpqYJxg9BusauYxLzZh9u4akZ6V,112500.000
2cJLmv8L6UR8ZBh72zC24frzWAJzg3um86L,108400.000
vAw9VNBGcZQhugmGcngqkKFq8ZermiKUJ1,100000.000
Digg1jegYbPgyNv1BQKd9yLAKcF8urW2um,100000.000
25NuTrt44i4iJJHULWQ2dg95dz3ssMjAFbu,100000.000
PCzLSRNVUDuvVSsrBckCu5ZEaHNbGW4fxm,100000.000
25EfDpDV5mMq7T6owKkuHW1im9K1fLVMbjz,100000.000
2N12UCba9aEx9BCPuUGsCa5jtDNbvutdp1t,100000.000
WFYWGBmbgx7YuTBNbyibgJhgxZhA9BdWx1,100000.000
z9Zj1WHHpUFRoG7XiKrurkwapzUFtr6Yb,99900.000
2Bd5N3MhKuGr31y9X8AaVH5kLFKSqdqxVuL,80878.000
NNGBZGQa8Dg5bDjvzyCecreaw5DiFBCRDe,80771.000
2N9NKhrQiivcUFF9H3AWPWAeasba7Vf17yA,80767.000
46xKUuGKAtXEjYbzGUXJCnxGBZbSop4maK,80000.000
Gu4Du7Xe9PhDbGYK4tEJMMzxjaNVVAJ4S1,79950.000
Hyue9dErXn1ButEvp6P4a3MGWbdseUsT9r,77501.000
CGPbT7PxEm6L7qShb2tCRnjt5HeoeVcwTF,75022.000
2kGgDEyMLUYW6NzrGCvH9kBuYpwQbCVVGrF,70000.000
MSwEnkAPn75UZGaYTYTKoYnsjwHtmD3N3z,62501.000
2DCYHd96tSmTcZ2NfWFKJz1zEFSiTE1YRQC,60000.000
tHUzFLvWEixnK1Dj7sMVnpDedHTF5WsZMW,55474.000
8FyT77SJocZq8mRsMm1MmZD1WejzqKvE6C,52037.000
EMX3uX76HEhPi8Dh7AkYXXUuo7sUFfB11q,50001.000
Zbbq1PcELTm9Hp5A6U73BQRNRaLmAsYR6k,50000.000
2eJYpdwXgVE8yr5LcJCzrZdzvXEKp2rNoc,50000.000
2iVTifsRMf3UtCVnMrha5aGUkXKUCEyi1df,40824.000
2Aa68GqXx3f1ts2Pp8Su1SBbMtZ9E4TqV6h,40000.000
TNr8at2A3r4qWNY9VS5E9JqydzNjs6iZRY,39333.330
RFNepSJ9kZiA6HbX9KasZM8gskwF83EsBP,37040.000
7AR1vq8x5iS3QpZGDtM2YQNScYefeDCeDE,35000.000
2FJ6Em41zSH6SyaPg6EBiRvz7Rsya9tEEF,30000.000
u9kGUky8AMDr4YMn4PDfcwa86UvtkKnT5c,25000.000
2avRPLVVHUq7DsiEPYgyfu6vbgopbqTqK43,25000.000
2FhMZZ6NoFJ82MUVHphxCt3Hb57Sj33eguC,24917.000
2SZweaLruTTMVxHv8qimALj7QVASWHMvRKo,20000.000
2H1fQftyNfWJGGugvViurbx943DbkC3AdNT,20000.000
2aGwFE169ngt3XwQG9iUWN1E8YLdetJkUby,20000.000
2CipnUWAxz9NrcdhxStftk8iJo1Bo2h5pLR,20000.000
2kC68NmAUPMmxLsySsHwK8p7dbgasXJSDyR,16500.000
2A9gRQrW7iUXemqaYss2zQkA8FP2MTGiD6d,13736.000
2hcG6xZLiLGRHYx1PxtJ6xwJZdhg9qj7W9x,13370.000
2Jd18Dd5uCskpTheT8NXgkj77Q4hexqMF1R,13330.000
hXJj8c4Ukxpgf7M4Z6HvdzjPsyedQoBxb3,12000.000
2HFJzni5qoVRHrc3X3Y9MBff3ccXmZV4pNj,11110.000
2LovexQ3wbQCi79YDy26QzFZoFq2ijYEw8C,10000.000
2kKjcJpQb32RtdGkXob3XYtmMbxKMyUvqR1,10000.000
2eRBA6QABzUiB3cdq1yzcsB1zJgyUZLxGAp,10000.000
2BJd45btBDF4XvDZb89HCLTP9L5m3JWhoVU,10000.000
